A,information technology,security,,
A,information technology,security,,
A,information technology,security,cybersecurity,
A,information technology,IT management,,
E,information technology,security,,
A,information technology,security,auditing,
E,information technology,IT management,compliance,ISO27001
E,information technology,IT management,compliance,PCI-DSS
A,personal skills,soft skills,problem-solving,
A,information technology,IT management,governance,policies
E,information technology,IT management,compliance,ISO9001
E,information technology,IT management,compliance,GDPR
E,information technology,IT management,governance,
E,information technology,IT management,compliance,Data Protection Act
